person_id,name_sr,name_en,birth,death,occupation_sr,occupation_en,wikidata,orcid,source_id,evidence_page_pdf,evidence_note,verification_status,note
P087,Милован Бабић,Milovan Babić,,,трубач и вођа оркестра,trumpeter and bandleader,,,book-2005-carnival-in-guca-trumpet-festival-1961-2004,PDF 56–77; PDF 232–238; PDF 369,Издвојен је међу трубачима западне Србије који су стекли ширу афирмацију преко Сабора.,source_verified_no_external_id,Спољни ауторитетски идентификатор није унет без засебне нормативне провере.
P088,Мићо Петровић,Mićo Petrović,,,трубач и вођа оркестра,trumpeter and bandleader,,,book-2005-carnival-in-guca-trumpet-festival-1961-2004,PDF 122; PDF 242–243; PDF 317; PDF 369,"Вођа оркестра из западне Србије, присутан у саборској хроници и популарној култури.",source_verified_no_external_id,Спољни ауторитетски идентификатор није унет без засебне нормативне провере.
P089,Емир Кустурица,Emir Kusturica,,,филмски редитељ,film director,,,book-2005-carnival-in-guca-trumpet-festival-1961-2004,PDF 317–327; PDF 369–370,Његови филмови пресудно су допринели светској популарности трубачке музике и егзотизованој представи Србије и Гуче.,source_verified_no_external_id,Спољни ауторитетски идентификатор није унет без засебне нормативне провере.
P090,Горан Бреговић,Goran Bregović,,,композитор и музичар,composer and musician,,,book-2005-carnival-in-guca-trumpet-festival-1961-2004,PDF 317; PDF 326–327; PDF 369,Музиком за Кустуричине филмове и сарадњом са трубачима допринео је ширењу трубачког звука у популарној култури.,source_verified_no_external_id,Спољни ауторитетски идентификатор није унет без засебне нормативне провере.
P091,Слободан Милошевић,Slobodan Milošević,,,политичар и председник Србије и СР Југославије,politician and president of Serbia and the FR Yugoslavia,,,book-2005-carnival-in-guca-trumpet-festival-1961-2004,PDF 177; PDF 211; PDF 216; PDF 368,"Обрађен је у анализи националне идеологије, политичке инструментализације и односа државне власти према Сабору.",source_verified_no_external_id,Спољни ауторитетски идентификатор није унет без засебне нормативне провере.
P092,Славка Ђуровљевић „Царица”,Slavka Đurovljević ‘Carica’,,1920,кафеџијка и организаторка проституције,café keeper and organizer of prostitution,,,article-2007-prostitucija-u-cacku-tokom-xx-veka,PDF 2 (штампана стр. 171),Власница и закупац локала коју рад идентификује као прву организаторку проституције у чачанским кафанама.,source_verified_no_external_id,Спољни ауторитетски идентификатор није унет без засебне нормативне провере.
P093,Мирослав Миле Мојсиловић,Miroslav Mile Mojsilović,,,"новинар, хроничар и публициста","journalist, chronicler and publicist",,,article-2007-prostitucija-u-cacku-tokom-xx-veka,"PDF 2, 7, 10 и 14","Његови записи о старом Чачку коришћени су као сведочанство о кафанама, проституцији и приватном животу града.",source_verified_no_external_id,Спољни ауторитетски идентификатор није унет без засебне нормативне провере.
P094,Степа Степановић,Stepa Stepanović,1856,1929,војвода и војсковођа,field marshal and military commander,,,article-2000-nazivi-ulica-cacka-1893-1992,PDF 5,Улица војводе Степе припада међуратном слоју назива који негује сећање на балканске и Први светски рат.,source_verified_no_external_id,Спољни ауторитетски идентификатор није унет без засебне нормативне провере.
P095,Никола Пашић,Nikola Pašić,1845,1926,политичар и државник,politician and statesman,,,article-2000-nazivi-ulica-cacka-1893-1992,PDF 5; PDF 11,Назив улице и комеморативна пракса представљени су као део политике сећања у међуратном и постсоцијалистичком Чачку.,source_verified_no_external_id,Спољни ауторитетски идентификатор није унет без засебне нормативне провере.
P096,Марија Карађорђевић,Maria of Yugoslavia,1900,1961,краљица Југославије,Queen of Yugoslavia,,,article-2000-nazivi-ulica-cacka-1893-1992,PDF 4–5,Улица краљице Марије припада династичком слоју назива у Чачку између два светска рата.,source_verified_no_external_id,Спољни ауторитетски идентификатор није унет без засебне нормативне провере.
P097,Николај II Романов,Nicholas II of Russia,1868,1918,руски цар,Emperor of Russia,,,article-2000-nazivi-ulica-cacka-1893-1992,PDF 5,Улица цара Николе II представља словенофилски и савезнички слој међуратне политике именовања улица.,source_verified_no_external_id,Спољни ауторитетски идентификатор није унет без засебне нормативне провере.
P098,Никола Тесла,Nikola Tesla,1856,1943,проналазач и инжењер,inventor and engineer,,,article-2000-nazivi-ulica-cacka-1893-1992,PDF 5,Теслина улица сврстана је у називе који афирмишу науку и индустријализацију.,source_verified_no_external_id,Спољни ауторитетски идентификатор није унет без засебне нормативне провере.
P099,Фердинанд Крен,Ferdinand Kren,,1894,индустријалац и привредник,industrialist and entrepreneur,,,article-2007-prostitucija-u-cacku-tokom-xx-veka,PDF 6 (штампана стр. 175),"Обрађен је у контексту градске елите, кафанског живота и издржавања милоснице у Чачку крајем XIX века.",source_verified_no_external_id,Спољни ауторитетски идентификатор није унет без засебне нормативне провере.
P100,Младомир Пуриша Ђорђевић,Mladomir Puriša Đorđević,,,филмски редитељ и сценариста,film director and screenwriter,,,article-2007-prostitucija-u-cacku-tokom-xx-veka,PDF 10 (штампана стр. 179),Његови филмови наведени су као уметничка обрада сећања на проституцију и интимну историју предратног Чачка.,source_verified_no_external_id,Спољни ауторитетски идентификатор није унет без засебне нормативне провере.
P101,Јарослав Кужељ,Jaroslav Kuželj,,,лекар,physician,,,article-2007-prostitucija-u-cacku-tokom-xx-veka,PDF 6 (штампана стр. 175),"Окружни лекар који је 1905. забележио везу војног гарнизона, тајне проституције и ширења сифилиса у Чачку.",source_verified_no_external_id,Спољни ауторитетски идентификатор није унет без засебне нормативне провере.
P102,Павле Аполонович Ровински,Pavel Apollonovich Rovinsky,1831,1916,"историчар, етнограф и путописац","historian, ethnographer and travel writer",,,book-chapter-2007-grad-u-unutrasnjosti,PDF 15,Његов опис Чачка крајем XIX века служи као уводни доказ за раздвојеност породичног живота од улице и кафане.,source_verified_no_external_id,Спољни ауторитетски идентификатор није унет без засебне нормативне провере.
P103,Момо Капор,Momo Kapor,1937,2010,књижевник и сликар,writer and painter,,,conference-paper-2019-gradski-centar-arhitektonsko-nasledje-socijalizma-cacak,PDF 6 и 48,"Његов суд о изгледу Чачка уводи анализу односа архитектонског наслеђа, градске душе и локалног менталитета.",source_verified_no_external_id,Спољни ауторитетски идентификатор није унет без засебне нормативне провере.
P104,Радомир Станић,Radomir Stanić,1932,1996,историчар уметности и конзерватор,art historian and conservator,,,conference-paper-2019-gradski-centar-arhitektonsko-nasledje-socijalizma-cacak,PDF 12 и 49,Његова критика послератног рушења градитељског наслеђа користи се у анализи социјалистичке урбанизације.,source_verified_no_external_id,Спољни ауторитетски идентификатор није унет без засебне нормативне провере.
P105,Богдан Богдановић,Bogdan Bogdanović,1922,2010,архитекта и урбаниста,architect and urban planner,,,conference-paper-2019-gradski-centar-arhitektonsko-nasledje-socijalizma-cacak,PDF 40,"Аутор је Спомен-парка борбе и победе, чија се надетничка и космополитска симболика анализира у раду.",source_verified_no_external_id,Спољни ауторитетски идентификатор није унет без засебне нормативне провере.
P106,Михаило Митровић,Mihajlo Mitrović,1922,2018,архитекта и урбаниста,architect and urban planner,,,conference-paper-2019-gradski-centar-arhitektonsko-nasledje-socijalizma-cacak,"PDF 40, 42 и 44",Аутор је конкурсног решења Трга устанка и стамбено-пословног комплекса „Пролеће”.,source_verified_no_external_id,Спољни ауторитетски идентификатор није унет без засебне нормативне провере.
P107,Драгиша Брашован,Dragiša Brašovan,1887,1965,архитекта,architect,,,conference-paper-2019-gradski-centar-arhitektonsko-nasledje-socijalizma-cacak,PDF 40,"Пројектовао је Робну кућу „Партизан”, један од главних модернистичких објеката на тргу.",source_verified_no_external_id,Спољни ауторитетски идентификатор није унет без засебне нормативне провере.
P108,Ратко Митровић,Ratko Mitrović,1913,1941,народни херој и политички комесар,national hero and political commissar,,,conference-paper-2019-gradski-centar-arhitektonsko-nasledje-socijalizma-cacak,PDF 42,Предлог из 1982. предвиђао је подизање његовог споменика на централном тргу у Чачку.,source_verified_no_external_id,Спољни ауторитетски идентификатор није унет без засебне нормативне провере.
P109,Милан Недић,Milan Nedić,1877,1946,генерал и председник колаборационистичке владе,general and head of the collaborationist government,,,article-2019-finansije-jvuo-u-srbiji-1941-1944,"PDF 2, 4, 11 и 13",Недићева влада и њена финансијска помоћ ЈВуО чине један од главних токова анализе.,source_verified_no_external_id,Спољни ауторитетски идентификатор није унет без засебне нормативне провере.
P110,Милован Ђилас,Milovan Đilas,1911,1995,"револуционар, политичар и писац","revolutionary, politician and writer",,,article-2018-sudbina-srebra-uzicke-republike,"PDF 5, 14–15 и 17",Сведочења и деловање Ђиласа користе се у реконструкцији транспорта и употребе ужичког сребра.,source_verified_no_external_id,Спољни ауторитетски идентификатор није унет без засебне нормативне провере.
P111,Сретен Жујовић,Sreten Žujović,1899,1976,револуционар и политичар,revolutionary and politician,,,book-2018-zlato-cetnika-i-partizana-2018,PDF 105 и 112,Као руководилац партизанских финансија присутан је у анализи новца и драгоцености.,source_verified_no_external_id,Спољни ауторитетски идентификатор није унет без засебне нормативне провере.
P112,Александар Ранковић,Aleksandar Ranković,1909,1983,револуционар и политичар,revolutionary and politician,,,article-2018-sudbina-srebra-uzicke-republike,PDF 11 и 18,Његове дневничке забелешке и ратна улога користе се у реконструкцији судбине сребра.,source_verified_no_external_id,Спољни ауторитетски идентификатор није унет без засебне нормативне провере.
P113,Винстон Черчил,Winston Churchill,1874,1965,британски државник и премијер,British statesman and prime minister,,,book-2018-zlato-cetnika-i-partizana-2018,PDF 233,Черчилова политика према југословенским покретима отпора део је објашњења прекида помоћи ЈВуО.,source_verified_no_external_id,Спољни ауторитетски идентификатор није унет без засебне нормативне провере.
P114,Владимир Дедијер,Vladimir Dedijer,1914,1990,"историчар, публициста и учесник НОП-а","historian, publicist and Partisan participant",,,article-2018-sudbina-srebra-uzicke-republike,PDF 10–17,Дневник и сећања Дедијера важни су извори за повлачење из Ужица и транспорт сребра.,source_verified_no_external_id,Спољни ауторитетски идентификатор није унет без засебне нормативне провере.
